Protein,Function,Is Cancer,Result test 1
Prot_3761,Func_0005794,0,Unknown
Prot_3761,Func_0005789,0,Unknown
Prot_3761,Func_0005635,0,Unknown
Prot_3761,Func_0004666,0,Unknown
Prot_3761,Func_0004601,0,Unknown
Prot_3761,Func_0020037,0,Unknown
Prot_3761,Func_0006629,0,Unknown
Prot_3761,Func_0006979,0,Unknown
Prot_3761,Func_0005792,0,Unknown
Prot_3761,Func_0051412,0,Unknown
Prot_3761,Func_0010243,0,Unknown
Prot_3761,Func_0005886,0,Unknown
Prot_3761,Func_0001516,0,Unknown
Prot_3761,Func_0008217,0,Unknown
Prot_3761,Func_0006633,0,Unknown
Prot_3761,Func_0016702,0,Unknown
Prot_3761,Func_0045987,0,Unknown
Prot_3761,Func_0045907,0,Unknown
Prot_3761,Func_0010700,0,Unknown
Prot_3761,Func_0055114,0,Unknown
Prot_3761,Func_0005737,0,Unknown
Prot_3761,Func_0005634,0,Unknown
Prot_3761,Func_0008289,0,Unknown
Prot_3761,Func_0016491,0,Unknown
Prot_3761,Func_0042127,0,Unknown
Prot_3761,Func_0032811,0,Unknown
Prot_3761,Func_0007568,0,Unknown
Prot_3761,Func_0005783,0,Unknown
Prot_3762,Func_0005096,0,Unknown
Prot_3762,Func_0005515,0,Unknown
Prot_3762,Func_0005622,0,Unknown
Prot_3762,Func_0007165,0,Unknown
Prot_3764,Func_0007243,0,Unknown
Prot_3764,Func_0051018,0,Unknown
Prot_3764,Func_0005856,0,Unknown
Prot_3764,Func_0005815,0,Unknown
Prot_3764,Func_0008157,0,Unknown
Prot_3764,Func_0005737,0,Unknown
Prot_3764,Func_0005515,0,Unknown
Prot_3766,Func_0005886,0,Unknown
Prot_3766,Func_0007605,0,Unknown
Prot_3766,Func_0016021,0,Unknown
Prot_3766,Func_0000139,0,Unknown
Prot_3766,Func_0030054,0,Unknown
Prot_3766,Func_0005922,0,Unknown
Prot_3766,Func_0005793,0,Unknown
Prot_3766,Func_0006810,0,Unknown
Prot_3766,Func_0030539,0,Unknown
Prot_3766,Func_0007267,0,Unknown
Prot_3766,Func_0016328,0,Unknown
Prot_3766,Func_0005515,0,Unknown
Prot_3768,Func_0005886,0,Unknown
Prot_3768,Func_0004888,0,Unknown
Prot_3768,Func_0030054,0,Unknown
Prot_3768,Func_0005887,0,Unknown
Prot_3768,Func_0005198,0,Unknown
Prot_3768,Func_0016338,0,Unknown
Prot_3768,Func_0005923,0,Unknown
Prot_3768,Func_0042802,0,Unknown
Prot_3769,Func_0005515,0,Unknown
Prot_3770,Func_0005794,0,Unknown
Prot_3770,Func_0016021,0,Unknown
Prot_3770,Func_0000139,0,Unknown
Prot_3770,Func_0016757,0,Unknown
Prot_3770,Func_0004653,0,Unknown
Prot_3770,Func_0005529,0,Unknown
Prot_3770,Func_0016020,0,Unknown
Prot_3771,Func_0005351,0,Unknown
Prot_3771,Func_0015780,0,Unknown
Prot_3771,Func_0005794,0,Unknown
Prot_3771,Func_0005459,0,Unknown
Prot_3771,Func_0016021,0,Unknown
Prot_3771,Func_0000139,0,Unknown
Prot_3771,Func_0005338,0,Unknown
Prot_3771,Func_0006012,0,Unknown
Prot_3771,Func_0016020,0,Unknown
Prot_3771,Func_0015785,0,Unknown
Prot_3772,Func_0043565,0,Unknown
Prot_3772,Func_0008285,0,Unknown
Prot_3772,Func_0048870,0,Unknown
Prot_3772,Func_0003700,0,Unknown
Prot_3772,Func_0045786,0,Unknown
Prot_3772,Func_0051272,0,Unknown
Prot_3772,Func_0006955,0,Unknown
Prot_3772,Func_0003702,0,Unknown
Prot_3772,Func_0003677,0,Unknown
Prot_3772,Func_0005634,0,Unknown
Prot_3772,Func_0045941,0,Unknown
Prot_3772,Func_0008134,0,Unknown
Prot_3772,Func_0006366,0,Unknown
Prot_3772,Func_0045648,0,Unknown
Prot_3772,Func_0045893,0,Unknown
Prot_3772,Func_0046677,0,Unknown
Prot_3772,Func_0030578,0,Unknown
Prot_3772,Func_0006917,0,Unknown
Prot_3772,Func_0005515,0,Unknown
Prot_3772,Func_0010552,0,Unknown
Prot_3773,Func_0005886,0,Unknown
Prot_3773,Func_0005887,0,Unknown
Prot_3773,Func_0045730,0,Unknown
Prot_3773,Func_0031225,0,Unknown
Prot_3773,Func_0007204,0,Unknown
Prot_3773,Func_0005624,0,Unknown
Prot_3774,Func_0046872,0,cancer
Prot_3774,Func_0003912,0,cancer
Prot_3774,Func_0003887,0,cancer
Prot_3774,Func_0016740,0,cancer
Prot_3774,Func_0003677,0,cancer
Prot_3774,Func_0006260,0,cancer
Prot_3774,Func_0005622,0,cancer
Prot_3774,Func_0005634,0,cancer
Prot_3775,Func_0004221,0,Unknown
Prot_3775,Func_0006511,0,Unknown
Prot_3775,Func_0008233,0,Unknown
Prot_3775,Func_0008234,0,Unknown
Prot_3776,Func_0046872,0,Unknown
Prot_3776,Func_0005737,0,Unknown
Prot_3776,Func_0005634,0,Unknown
Prot_3776,Func_0016787,0,Unknown
Prot_3776,Func_0005625,0,Unknown
