Protein,Function,Is Cancer,Result test 1
Prot_3818,Func_0016608,0,Unknown
Prot_3818,Func_0043195,0,Unknown
Prot_3818,Func_0043005,0,Unknown
Prot_3818,Func_0007204,0,Unknown
Prot_3819,Func_0030145,0,Unknown
Prot_3819,Func_0000287,0,Unknown
Prot_3819,Func_0016740,0,Unknown
Prot_3819,Func_0005737,0,Unknown
Prot_3819,Func_0005634,0,Unknown
Prot_3819,Func_0004674,0,Unknown
Prot_3819,Func_0006915,0,Unknown
Prot_3819,Func_0004672,0,Unknown
Prot_3819,Func_0005524,0,Unknown
Prot_3819,Func_0045725,0,Unknown
Prot_3819,Func_0006468,0,Unknown
Prot_3819,Func_0000166,0,Unknown
Prot_3819,Func_0004713,0,Unknown
Prot_3819,Func_0042771,0,Unknown
Prot_3820,Func_0007386,0,Unknown
Prot_3820,Func_0003674,0,Unknown
Prot_3820,Func_0005794,0,Unknown
Prot_3820,Func_0016757,0,Unknown
Prot_3820,Func_0033829,0,Unknown
Prot_3820,Func_0007389,0,Unknown
Prot_3820,Func_0005576,0,Unknown
Prot_3820,Func_0030173,0,Unknown
Prot_3820,Func_0000139,0,Unknown
Prot_3820,Func_0016021,0,Unknown
Prot_3820,Func_0009887,0,Unknown
