Prot_19,Prot_7769
Prot_19,Prot_6170
Prot_19,Prot_2784
Prot_19,Prot_69
Prot_19,Prot_10035
Prot_19,Prot_8027
Prot_19,Prot_8634
Prot_19,Prot_965
Prot_19,Prot_32
Prot_19,Prot_224
Prot_19,Prot_6181
Prot_19,Prot_6545
Prot_19,Prot_7102
Prot_20,Prot_6943
Prot_21,Prot_4957
Prot_22,Prot_3052
Prot_22,Prot_9629
Prot_22,Prot_3056
Prot_22,Prot_7746
Prot_22,Prot_4916
Prot_22,Prot_7604
Prot_22,Prot_9047
Prot_22,Prot_939
Prot_22,Prot_9499
Prot_22,Prot_7906
Prot_22,Prot_5952
Prot_22,Prot_777
Prot_22,Prot_9115
Prot_22,Prot_2400
Prot_22,Prot_3497
Prot_22,Prot_5149
Prot_22,Prot_8831
Prot_22,Prot_3823
Prot_22,Prot_4241
Prot_22,Prot_5298
Prot_22,Prot_1884
Prot_22,Prot_7758
Prot_22,Prot_9719
Prot_22,Prot_4931
Prot_23,Prot_6078
Prot_23,Prot_4511
Prot_23,Prot_4741
Prot_23,Prot_8686
Prot_23,Prot_7856
Prot_23,Prot_364
Prot_24,Prot_709
Prot_24,Prot_3186
Prot_24,Prot_282
Prot_24,Prot_9751
Prot_24,Prot_8443
Prot_24,Prot_3656
Prot_24,Prot_8583
Prot_24,Prot_6572
Prot_24,Prot_8097
Prot_24,Prot_3050
Prot_25,Prot_4889
Prot_26,Prot_7029
Prot_26,Prot_5328
Prot_26,Prot_4955
Prot_26,Prot_5132
Prot_26,Prot_2288
Prot_26,Prot_323
Prot_27,Prot_3265
Prot_28,Prot_1142
Prot_28,Prot_4397
Prot_28,Prot_3106
Prot_29,Prot_7217
Prot_29,Prot_249
Prot_29,Prot_8097
Prot_29,Prot_7531
Prot_29,Prot_1540
Prot_29,Prot_6733
Prot_30,Prot_9767
Prot_31,Prot_9630
Prot_32,Prot_5096
Prot_32,Prot_9298
Prot_32,Prot_4710
Prot_32,Prot_9757
Prot_32,Prot_1211
Prot_32,Prot_3122
Prot_32,Prot_8921
Prot_32,Prot_7990
Prot_32,Prot_8923
Prot_32,Prot_546
Prot_32,Prot_4715
Prot_32,Prot_8438
Prot_32,Prot_9453
Prot_32,Prot_4334
Prot_32,Prot_9167
Prot_32,Prot_8447
Prot_32,Prot_163
Prot_32,Prot_9979
Prot_32,Prot_4877
Prot_32,Prot_9391
Prot_32,Prot_3289
Prot_32,Prot_13
Prot_32,Prot_9088
Prot_32,Prot_707
Prot_32,Prot_6384
Prot_32,Prot_2686
Prot_32,Prot_2025
Prot_32,Prot_4351
Prot_32,Prot_4665
Prot_32,Prot_19
Prot_32,Prot_717
Prot_32,Prot_857
Prot_32,Prot_7457
Prot_32,Prot_5293
Prot_32,Prot_9026
Prot_32,Prot_8945
Prot_32,Prot_2612
Prot_32,Prot_3784
Prot_32,Prot_5377
Prot_32,Prot_2860
Prot_32,Prot_4438
Prot_32,Prot_8634
Prot_32,Prot_2532
Prot_32,Prot_8308
Prot_32,Prot_4904
Prot_32,Prot_9996
Prot_32,Prot_7142
Prot_32,Prot_6181
Prot_32,Prot_7145
Prot_32,Prot_2131
Prot_32,Prot_7881
Prot_32,Prot_6895
Prot_32,Prot_4129
Prot_32,Prot_9649
Prot_32,Prot_1252
Prot_32,Prot_4757
Prot_32,Prot_1845
Prot_32,Prot_8323
Prot_32,Prot_4688
Prot_32,Prot_340
Prot_32,Prot_3258
Prot_32,Prot_7563
Prot_32,Prot_8652
Prot_32,Prot_7790
Prot_32,Prot_3880
Prot_32,Prot_1485
Prot_32,Prot_8489
Prot_32,Prot_7481
Prot_32,Prot_1343
Prot_32,Prot_9487
Prot_32,Prot_348
